CUPS;Fecha;Hora;2.0TD;3.0TD;P3.0TDVE
REE;13/01/2022;9;0.000138978;0.000163016;8.36872E-05
REE;13/01/2022;10;0.000146313;0.000184563;0.00010057
REE;13/01/2022;11;0.000153999;0.000192448;0.000148873
REE;13/01/2022;12;0.000152525;0.000191504;0.000158269
REE;13/01/2022;13;0.000150407;0.000188063;0.000193494
REE;13/01/2022;14;0.000157148;0.000175891;0.000182111
REE;13/01/2022;15;0.00015995;0.00015229;0.000174741
REE;13/01/2022;16;0.000153352;0.000140082;0.000198423
REE;13/01/2022;17;0.000148126;0.000136789;0.000185689
REE;13/01/2022;18;0.000150359;0.000138729;0.000161188
REE;13/01/2022;19;0.000167471;0.000150936;0.000172
REE;13/01/2022;20;0.00018332;0.000150521;0.000199226
REE;13/01/2022;21;0.000193396;0.000140213;0.000209798
REE;13/01/2022;22;0.00019783;0.000124578;0.000165911
REE;13/01/2022;23;0.000186881;0.000109781;0.000132358
REE;13/01/2022;24;0.000162058;9.9287E-05;0.000118039
REE;14/01/2022;1;0.000136797;9.00522E-05;9.88752E-05
REE;14/01/2022;2;0.000112922;8.43526E-05;5.75954E-05
REE;14/01/2022;3;9.75389E-05;8.20967E-05;4.99417E-05
REE;14/01/2022;4;8.92591E-05;8.09735E-05;3.52505E-05
REE;14/01/2022;5;8.56885E-05;8.04052E-05;3.80804E-05
REE;14/01/2022;6;8.62312E-05;8.22054E-05;4.64851E-05
REE;14/01/2022;7;9.02069E-05;8.64442E-05;3.58181E-05
REE;14/01/2022;8;9.95596E-05;9.39628E-05;2.95929E-05
REE;14/01/2022;9;0.000115721;9.71365E-05;6.45436E-05
REE;14/01/2022;10;0.00014346;0.000105868;9.77737E-05
REE;14/01/2022;11;0.000163568;0.000118544;0.000104993
REE;14/01/2022;12;0.000166589;0.000122709;0.000152768
REE;14/01/2022;13;0.000163253;0.000123864;0.000192136
REE;14/01/2022;14;0.000170135;0.000118173;0.00021652
REE;14/01/2022;15;0.000172086;0.000107914;0.000200306
REE;14/01/2022;16;0.000159025;0.000102753;0.000190319
REE;14/01/2022;17;0.000149282;0.000100255;0.000185698
REE;14/01/2022;18;0.000147857;0.000102616;0.000153537
REE;14/01/2022;19;0.000163242;0.000117177;0.000163692
REE;14/01/2022;20;0.000175878;0.000124622;0.000164364
REE;14/01/2022;21;0.000185212;0.000124065;0.000169273
REE;14/01/2022;22;0.000191375;0.000115463;0.000160407
REE;14/01/2022;23;0.000182893;0.000106189;0.000136955
REE;14/01/2022;24;0.000161993;9.76515E-05;9.94586E-05
